left2010,left2019,left2015,vote2010,vote2015,vote2019,male,age,education,unemployed,ideology,iv_immigration,iv_economy,imm_issue,eco_issue,right2010,right2015,right2019
1,1,1,Green Party,Green Party,Green,1,55,5,0,0,0.5,1,0,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,8,0.75,0.25,0,1,1,1,1
0,0,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),Conservative,0,74,3,0,8,0.75,0.5,0,0,1,1,1
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,10,1,0.25,1,0,1,1,NA
1,1,1,Liberal Democrat,Labour,Labour,1,NA,NA,NA,2,0.75,0.75,0,0,0,0,0
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,1,79,3,0,3,1,0.5,0,0,0,0,0
1,1,1,Green Party,Labour,Liberal Democrat,1,68,5,0,2,0.5,1,0,1,0,0,0
0,1,1,Conservative,Labour,Labour,1,60,5,0,3,0.5,1,0,0,1,0,0
1,NA,1,Liberal Democrat,Liberal Democrat,NA,1,NA,NA,NA,4,0.5,NA,0,0,0,0,NA
1,NA,0,Liberal Democrat,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,5,1,0.5,1,0,0,1,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,1,0,1,NA,NA,NA
1,0,1,Liberal Democrat,Liberal Democrat,Conservative,0,NA,NA,NA,NA,1,1,0,0,0,0,1
1,0,0,Liberal Democrat,Conservative,Conservative,1,82,2,0,5,1,0.75,0,0,0,1,1
0,1,1,Conservative,Liberal Democrat,Liberal Democrat,1,61,2,0,7,1,0.25,0,0,1,0,0
0,0,0,United Kingdom Independence Party (UKIP),Conservative,Conservative,1,NA,NA,NA,5,1,0.5,1,0,1,1,1
0,0,0,Conservative,Conservative,Conservative,0,52,3,0,7,1,0.5,1,0,1,1,1
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,0.75,0.75,0,1,NA,NA,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,7,1,0.25,1,0,1,1,NA
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,6,0,0.75,1,0,0,0,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,9,1,0.75,0,0,1,1,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,5,1,0.75,0,0,1,1,NA
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,2,0.75,NA,NA,0,0,0,NA
NA,1,0,NA,Conservative,Liberal Democrat,0,51,5,0,6,0.75,0.25,0,1,NA,1,0
0,0,1,Conservative,Labour,Conservative,0,67,5,0,6,0.75,0.5,0,1,1,0,1
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,3,0.5,0.75,0,0,0,0,NA
1,1,1,Liberal Democrat,Liberal Democrat,Green,1,75,5,0,4,0.75,0.5,0,0,0,0,0
1,1,1,Labour,Liberal Democrat,Labour,1,56,6,0,6,0.5,0.5,0,1,0,0,0
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,9,1,0.25,0,0,1,1,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.5,0.75,0,1,NA,NA,NA
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,1,0.5,0.75,0,0,0,0,NA
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,4,1,0.75,0,1,1,1,NA
0,0,0,Conservative,Conservative,Conservative,1,61,5,0,5,0.75,0.5,0,1,1,1,1
0,NA,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,5,1,0.75,1,0,1,1,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,8,1,0.5,1,0,1,1,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,7,0.5,0.5,0,1,1,1,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,4,1,0.75,0,1,0,0,NA
0,NA,NA,Conservative,NA,NA,1,70,2,0,8,0.75,0.5,0,0,1,NA,NA
0,0,0,Conservative,Conservative,Conservative,1,67,3,0,7,0.5,0.5,0,0,1,1,1
1,0,0,Green Party,Conservative,Conservative,0,42,5,0,7,0.75,0.5,0,0,0,1,1
NA,NA,0,NA,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,7,1,0,0,0,NA,1,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,5,0.5,0.25,NA,0,1,1,NA
0,NA,0,British National Party (BNP),Conservative,NA,0,NA,NA,NA,8,1,0,1,0,1,1,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,8,1,0.25,1,0,1,1,NA
1,NA,1,Liberal Democrat,Labour,NA,1,NA,NA,NA,4,0.5,1,0,0,0,0,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,7,0.5,0.5,0,1,1,1,NA
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8,1,0.25,1,0,NA,NA,NA
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,57,2,0,6,1,0,0,0,1,1,1
0,0,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),Conservative,1,82,2,0,9,1,0.25,1,0,1,1,1
1,1,1,Liberal Democrat,Labour,Liberal Democrat,1,NA,NA,NA,3,0.5,0.5,0,0,0,0,0
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,1,0,1,1,0,1,1,NA
0,0,0,Conservative,Conservative,Conservative,1,81,5,0,10,1,0,0,0,1,1,1
1,NA,1,Liberal Democrat,Labour,NA,1,NA,NA,NA,3,0.5,0.75,0,0,0,0,NA
1,NA,0,Labour,Conservative,NA,1,NA,NA,NA,5,1,0.75,1,0,0,1,NA
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,NA,1,0.75,1,0,0,0,NA
0,NA,0,British National Party (BNP),United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,8,1,1,1,0,1,1,NA
NA,NA,NA,NA,NA,NA,0,67,NA,0,3,0.5,0.75,0,1,NA,NA,NA
1,1,1,Liberal Democrat,Labour,Labour,1,NA,NA,NA,0,0,1,0,0,0,0,0
1,NA,1,Liberal Democrat,Liberal Democrat,NA,1,NA,NA,NA,4,0.75,0.5,NA,0,0,0,NA
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,8,1,0.5,1,0,1,1,1
0,0,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),Conservative,0,NA,NA,NA,NA,1,0.75,1,0,1,1,1
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,6,1,0.5,0,1,1,1,NA
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,80,5,0,6,1,0.25,0,0,1,1,NA
0,0,1,Conservative,Labour,Conservative,1,61,2,0,4,0.5,0.75,0,0,1,0,1
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,1,67,3,0,3,0.5,0.75,0,1,0,0,0
0,0,0,Conservative,Conservative,Conservative,1,54,5,0,7,0.5,0.5,0,1,1,1,1
0,1,0,Conservative,Conservative,Green,1,NA,NA,NA,7,0.75,0.75,0,1,1,1,0
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,5,1,1,0,0,0,0,NA
1,1,1,Labour,Labour,Labour,1,46,5,0,4,0.5,0.5,0,0,0,0,0
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,4,0.75,0.75,0,1,0,0,NA
1,NA,0,Labour,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,NA,1,0.5,1,0,0,1,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,2,0.5,1,0,0,0,0,NA
NA,0,0,NA,Conservative,Conservative,1,60,5,0,7,1,0.5,NA,0,NA,1,1
1,NA,0,Liberal Democrat,Conservative,NA,0,NA,NA,NA,5,1,0.5,1,0,0,1,NA
1,NA,1,Liberal Democrat,Liberal Democrat,NA,1,NA,NA,NA,2,0.75,0.75,0,0,0,0,NA
1,1,1,Labour,Labour,Liberal Democrat,0,66,5,0,1,1,1,0,1,0,0,0
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,NA,NA,NA,10,1,1,1,0,1,1,1
1,NA,NA,Liberal Democrat,NA,NA,0,NA,NA,NA,3,1,0.75,0,0,0,NA,NA
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,0.75,0.75,NA,0,NA,NA,NA
NA,NA,0,NA,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,0,1,0.25,1,0,NA,1,NA
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,3,1,0.75,0,0,0,0,NA
1,1,1,Labour,Labour,Liberal Democrat,1,39,5,0,3,0.5,1,0,0,0,0,0
0,NA,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,10,1,0,0,0,1,1,NA
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,NA,1,0.5,1,0,1,1,1
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,8,0.75,0.5,0,0,1,1,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,6,1,0.75,0,1,NA,NA,NA
1,1,1,Labour,Labour,Labour,0,NA,NA,NA,1,0.75,1,0,0,0,0,0
0,NA,0,United Kingdom Independence Party (UKIP),Conservative,NA,1,NA,NA,NA,6,0.75,0.25,0,1,1,1,NA
1,1,1,Liberal Democrat,Labour,Plaid Cymru,0,58,5,0,2,0.5,1,0,0,0,0,0
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,2,0.75,1,NA,0,0,0,NA
0,1,0,Conservative,Conservative,Liberal Democrat,1,70,2,0,7,0.5,0.25,0,1,1,1,0
1,1,1,Labour,Labour,Labour,1,48,4,0,4,0.5,0.75,0,1,0,0,0
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,7,1,0.5,NA,0,1,1,NA
0,0,NA,Conservative,NA,Conservative,0,53,3,0,NA,1,0.75,NA,0,1,NA,1
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,NA,1,NA,1,0,1,1,NA
1,0,0,Labour,United Kingdom Independence Party (UKIP),Conservative,0,53,3,0,5,1,1,1,0,0,1,1
1,NA,NA,Liberal Democrat,NA,NA,0,61,3,0,2,0.5,1,0,0,0,NA,NA
0,0,0,Conservative,Conservative,Conservative,0,71,2,0,8,1,0.75,1,0,1,1,1
1,0,0,Liberal Democrat,Conservative,Conservative,0,NA,NA,NA,NA,1,0.75,0,1,0,1,1
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.75,0.25,1,0,NA,NA,NA
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,7,0.75,0.5,1,0,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,72,3,0,NA,1,0.75,0,1,1,1,1
0,0,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),Conservative,0,NA,NA,NA,NA,1,0.5,1,0,1,1,1
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,9,0.5,NA,NA,0,1,1,NA
1,1,1,Liberal Democrat,Labour,Labour,0,NA,NA,NA,5,0.5,0.5,0,1,0,0,0
1,0,1,Labour,Labour,Conservative,1,73,5,0,4,1,0.75,0,0,0,0,1
1,1,1,Labour,Labour,Labour,0,NA,NA,NA,2,0.5,0.75,0,1,0,0,0
1,NA,0,Green Party,Conservative,NA,1,NA,NA,NA,NA,1,0.25,0,0,0,1,NA
0,0,0,Conservative,Conservative,Conservative,1,61,5,0,10,1,0.25,1,0,1,1,1
1,1,1,Labour,Labour,Labour,0,58,2,0,4,0.5,0.75,0,1,0,0,0
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,8,1,0.25,0,0,1,1,1
1,1,1,Liberal Democrat,Labour,Labour,1,NA,NA,NA,3,0.75,1,0,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,8,0.5,0.5,0,1,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,71,3,0,7,1,0.25,1,0,1,1,1
1,NA,0,Labour,United Kingdom Independence Party (UKIP),NA,1,55,5,0,7,1,0.5,1,0,0,1,NA
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,64,2,0,NA,1,0.25,1,0,1,1,1
NA,1,1,NA,Green Party,Liberal Democrat,0,NA,NA,NA,5,1,0.5,0,0,NA,0,0
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,8,1,0.5,0,0,1,1,NA
1,NA,1,Labour,Labour,NA,1,63,3,0,2,1,0.75,1,0,0,0,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,8,1,0.25,1,0,1,1,NA
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,77,1,0,8,1,0.5,1,0,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,50,3,0,7,0.75,0.5,0,1,1,1,1
1,1,1,Liberal Democrat,Labour,Labour,1,NA,NA,NA,4,0,0.75,0,0,0,0,0
0,1,0,Conservative,Conservative,Liberal Democrat,0,68,3,0,6,0.75,0.5,0,0,1,1,0
0,0,0,Conservative,Conservative,Conservative,1,35,3,1,NA,1,0.75,0,1,1,1,1
1,NA,1,Liberal Democrat,Labour,NA,1,NA,NA,NA,4,0.5,0.75,0,0,0,0,NA
1,NA,1,Liberal Democrat,Liberal Democrat,NA,0,NA,NA,NA,5,0.75,0.5,0,0,0,0,NA
NA,1,0,NA,Conservative,Plaid Cymru,1,56,3,0,8,1,0.75,1,0,NA,1,0
1,NA,1,Liberal Democrat,Labour,NA,1,NA,NA,NA,0,0.5,1,0,0,0,0,NA
1,NA,1,Liberal Democrat,Liberal Democrat,NA,0,NA,NA,NA,6,0,0.5,0,0,0,0,NA
1,NA,1,Liberal Democrat,Liberal Democrat,NA,1,NA,NA,NA,4,1,0.75,1,0,0,0,NA
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,73,1,0,7,1,0.5,1,0,1,1,1
1,NA,0,Liberal Democrat,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,3,1,0.5,0,1,0,1,NA
0,1,0,Conservative,Conservative,Liberal Democrat,1,66,5,0,5,0.5,0.25,0,1,1,1,0
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,1,0.5,1,0,1,0,0,NA
1,NA,1,Liberal Democrat,Labour,NA,1,NA,NA,NA,3,0.5,0.5,0,0,0,0,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,9,1,NA,1,0,1,1,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,6,1,0.25,1,0,1,1,NA
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,9,1,0.25,0,0,1,1,1
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,5,1,0.75,1,0,0,0,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,0,0,NA,NA,NA
0,NA,NA,Conservative,NA,NA,1,NA,NA,NA,9,1,0.25,0,1,1,NA,NA
NA,1,1,NA,Labour,Liberal Democrat,1,NA,NA,NA,3,0.5,0.75,0,1,NA,0,0
NA,NA,0,NA,Conservative,NA,1,NA,NA,NA,NA,0.75,NA,0,1,NA,1,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,6,1,0.25,1,0,1,1,NA
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,1,1,1,1,0,0,0,NA
0,NA,NA,Conservative,NA,NA,1,NA,NA,NA,7,1,0.5,0,1,1,NA,NA
0,0,0,Conservative,Conservative,Conservative,1,72,3,0,6,0.75,0.5,0,0,1,1,1
1,0,0,Liberal Democrat,Conservative,Conservative,1,NA,NA,NA,5,1,0.25,0,1,0,1,1
0,NA,1,British National Party (BNP),Labour,NA,1,NA,NA,NA,NA,1,0.5,0,0,1,0,NA
NA,0,0,NA,United Kingdom Independence Party (UKIP),Conservative,1,51,3,0,NA,1,1,1,0,NA,1,1
1,1,1,Liberal Democrat,Liberal Democrat,Labour,0,NA,NA,NA,3,0.75,0.75,0,0,0,0,0
1,1,1,Liberal Democrat,Labour,Liberal Democrat,1,57,3,0,6,0.75,1,0,1,0,0,0
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0.5,0.75,0,0,NA,NA,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,NA,1,0.5,0,1,1,1,NA
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,7,1,0.5,0,0,1,1,1
0,0,0,Conservative,Conservative,Conservative,0,76,5,0,7,0.75,0.25,NA,0,1,1,1
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,1,57,5,0,3,0.25,0.5,0,1,0,0,0
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,8,1,0,0,1,1,1,NA
0,1,1,Conservative,Labour,Labour,1,48,6,0,6,0,1,NA,0,1,0,0
NA,NA,1,NA,Labour,NA,0,NA,NA,NA,2,0.25,1,0,0,NA,0,NA
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,0,NA,NA,NA,6,0.5,0.5,0,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,0,69,3,0,8,1,0.25,0,1,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,59,3,0,6,1,0.5,0,1,1,1,1
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0.75,0,1,NA,NA,NA
0,0,0,Conservative,Conservative,Conservative,1,40,5,0,7,1,0.25,1,0,1,1,1
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,10,1,0,1,0,1,1,NA
1,1,1,Liberal Democrat,Labour,Labour,0,63,2,0,3,0.75,0.75,0,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,7,0.75,0.5,0,1,1,1,1
NA,0,0,NA,United Kingdom Independence Party (UKIP),Conservative,0,60,3,0,3,1,0.5,0,1,NA,1,1
1,1,1,Labour,Labour,Labour,1,63,1,0,5,0.75,1,0,0,0,0,0
NA,NA,0,NA,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,5,1,0.25,1,0,NA,1,NA
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,0.25,0.75,0,1,NA,NA,NA
1,1,1,Liberal Democrat,Labour,Labour,0,62,1,0,4,0.75,NA,NA,0,0,0,0
1,0,1,Liberal Democrat,Liberal Democrat,Conservative,1,62,3,0,7,1,0.75,0,1,0,0,1
0,0,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),Conservative,1,NA,NA,NA,7,1,0.5,0,0,1,1,1
1,NA,NA,Labour,NA,NA,0,NA,NA,NA,3,0.75,0.75,0,1,0,NA,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,2,0.5,1,0,0,0,0,NA
1,0,1,Labour,Labour,Conservative,0,NA,NA,NA,NA,0.75,0.75,0,0,0,0,1
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,8,0,0.25,1,0,1,1,1
1,1,1,Liberal Democrat,Liberal Democrat,Labour,0,75,5,0,6,1,NA,1,0,0,0,0
1,NA,1,Liberal Democrat,Green Party,NA,1,NA,NA,NA,3,1,0.75,0,1,0,0,NA
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,3,1,0.75,0,0,0,0,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,4,1,0.75,1,0,0,0,NA
1,NA,1,Liberal Democrat,Liberal Democrat,NA,1,NA,NA,NA,4,0.5,0.75,0,1,0,0,NA
NA,1,NA,NA,NA,Labour,1,81,5,0,2,1,0.75,1,0,NA,NA,0
1,NA,0,Labour,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,5,1,1,1,0,0,1,NA
